run,experiment,folds_done,selection_score_mean,selection_score_std,tissue_dice_mean,nuclei_fg_dice_mean,nuclei_class_dice_mean
E6,E6_UNIv2_lora,1,0.7148461772008371,,0.6827491293305782,0.8084551483261407,0.6533342539457925
E1,E1_UNIv2_frozen,3,0.668852791215821,0.021863615640076342,0.6049302122395345,0.7911127900607964,0.610515371347132
E3,E3_Virchow2_frozen,3,0.6630882781661427,0.019290936501250987,0.6213370083911832,0.78215656870031,0.5857712574069346
E4,E4_ConvNeXtV2_atto_plus_UNIv2_frozen,3,0.5631038484322204,0.03824388935934386,0.6069323860645073,0.5588080034519873,0.5235711557801664
E5,E5_ConvNeXtV2_atto_plus_Virchow2_frozen,3,0.5456385979851821,0.005933151839417354,0.5993456986944693,0.5649193107948977,0.4726507844661794
E2,E2_ConvNeXtV2_atto_frozen,3,0.3517611973342159,0.02177034922205514,0.3707931975417662,0.4626479740831431,0.2218424203777384
